,,"1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20",
,,"Aklo","Tito JoJo","Guava","E-tie","Fro116","Brotherhood| | Foxy Grandpa","K8A","fitzy","Tazio","UMF | Poonslayer7","LG | fitzy","LG | bonn","ENC | Epoodle","Luu","SRG | FOUL TARNISHED","Tranimal","SRG | Hatsune Mitski","KingNut","Tesner","a horse who can drive",
"1","Aklo",--,5 -- 1,3 -- 0,3 -- 0,2 -- 0,4 -- 0,1 -- 0,1 -- 0,1 -- 0,1 -- 0,0 -- 0,1 -- 0,0 -- 0,1 -- 0,0 -- 0,1 -- 0,1 -- 0,1 -- 0,0 -- 0,1 -- 0,
"2","Tito JoJo",1 -- 5,--,1 -- 1,0 -- 0,0 -- 0,0 -- 0,1 -- 0,1 -- 0,0 -- 0,1 -- 0,1 -- 0,0 -- 0,0 -- 0,1 -- 0,0 -- 0,0 -- 0,0 -- 0,1 -- 0,1 -- 0,0 -- 0,
"3","Guava",0 -- 3,1 -- 1,--,2 -- 0,0 -- 0,0 -- 0,1 -- 0,2 -- 0,1 -- 1,1 -- 0,1 -- 0,0 -- 0,0 -- 0,0 -- 0,0 -- 0,1 -- 0,1 -- 0,0 -- 0,0 -- 0,0 -- 0,
"4","E-tie",0 -- 3,0 -- 0,0 -- 2,--,0 -- 2,0 -- 1,1 -- 1,1 -- 0,1 -- 0,0 -- 1,2 -- 0,2 -- 0,0 -- 1,0 -- 0,1 -- 0,1 -- 0,1 -- 0,1 -- 0,0 -- 0,0 -- 0,
"5","Fro116",0 -- 2,0 -- 0,0 -- 0,2 -- 0,--,0 -- 0,1 -- 0,0 -- 0,2 -- 0,0 -- 0,0 -- 0,1 -- 0,1 -- 0,1 -- 0,0 -- 0,0 -- 0,0 -- 0,0 -- 0,0 -- 0,0 -- 0,
"6","Brotherhood| | Foxy Grandpa",0 -- 4,0 -- 0,0 -- 0,1 -- 0,0 -- 0,--,1 -- 0,0 -- 1,2 -- 0,0 -- 0,0 -- 0,1 -- 0,2 -- 0,0 -- 1,0 -- 0,0 -- 0,0 -- 0,0 -- 0,0 -- 0,0 -- 0,
"7","K8A",0 -- 1,0 -- 1,0 -- 1,1 -- 1,0 -- 1,0 -- 1,--,0 -- 2,1 -- 1,1 -- 1,0 -- 1,1 -- 0,0 -- 0,1 -- 1,1 -- 3,1 -- 1,1 -- 0,1 -- 0,1 -- 0,1 -- 0,
"8","fitzy",0 -- 1,0 -- 1,0 -- 2,0 -- 1,0 -- 0,1 -- 0,2 -- 0,--,0 -- 0,0 -- 0,0 -- 0,0 -- 1,0 -- 0,1 -- 0,0 -- 0,0 -- 0,1 -- 0,1 -- 0,0 -- 0,0 -- 0,
"9","Tazio",0 -- 1,0 -- 0,1 -- 1,0 -- 1,0 -- 2,0 -- 2,1 -- 1,0 -- 0,--,1 -- 2,1 -- 0,3 -- 1,1 -- 1,1 -- 2,0 -- 0,2 -- 0,1 -- 0,1 -- 0,0 -- 0,1 -- 0,
"10","UMF | Poonslayer7",0 -- 1,0 -- 1,0 -- 1,1 -- 0,0 -- 0,0 -- 0,1 -- 1,0 -- 0,2 -- 1,--,0 -- 0,0 -- 1,0 -- 0,1 -- 0,1 -- 1,2 -- 0,0 -- 0,0 -- 0,0 -- 0,0 -- 0,
"11","LG | fitzy",0 -- 0,0 -- 1,0 -- 1,0 -- 2,0 -- 0,0 -- 0,1 -- 0,0 -- 0,0 -- 1,0 -- 0,--,0 -- 0,0 -- 1,0 -- 0,1 -- 0,0 -- 0,1 -- 0,0 -- 0,0 -- 0,0 -- 0,
"12","LG | bonn",0 -- 1,0 -- 0,0 -- 0,0 -- 2,0 -- 1,0 -- 1,0 -- 1,1 -- 0,1 -- 3,1 -- 0,0 -- 0,--,0 -- 0,0 -- 0,0 -- 0,0 -- 0,0 -- 0,1 -- 0,0 -- 1,0 -- 0,
"13","ENC | Epoodle",0 -- 0,0 -- 0,0 -- 0,1 -- 0,0 -- 1,0 -- 2,0 -- 0,0 -- 0,1 -- 1,0 -- 0,1 -- 0,0 -- 0,--,1 -- 0,0 -- 0,0 -- 0,0 -- 0,0 -- 0,0 -- 0,1 -- 0,
"14","Luu",0 -- 1,0 -- 1,0 -- 0,0 -- 0,0 -- 1,1 -- 0,1 -- 1,0 -- 1,2 -- 1,0 -- 1,0 -- 0,0 -- 0,0 -- 1,--,0 -- 0,0 -- 0,1 -- 1,1 -- 1,0 -- 0,1 -- 0,
"15","SRG | FOUL TARNISHED",0 -- 0,0 -- 0,0 -- 0,0 -- 1,0 -- 0,0 -- 0,3 -- 1,0 -- 0,0 -- 0,1 -- 1,0 -- 1,0 -- 0,0 -- 0,0 -- 0,--,0 -- 0,0 -- 0,0 -- 0,0 -- 0,0 -- 0,
"16","Tranimal",0 -- 1,0 -- 0,0 -- 1,0 -- 1,0 -- 0,0 -- 0,1 -- 1,0 -- 0,0 -- 2,0 -- 2,0 -- 0,0 -- 0,0 -- 0,0 -- 0,0 -- 0,--,2 -- 0,0 -- 1,0 -- 0,1 -- 0,
"17","SRG | Hatsune Mitski",0 -- 1,0 -- 0,0 -- 1,0 -- 1,0 -- 0,0 -- 0,0 -- 1,0 -- 1,0 -- 1,0 -- 0,0 -- 1,0 -- 0,0 -- 0,1 -- 1,0 -- 0,0 -- 2,--,2 -- 0,0 -- 1,1 -- 1,
"18","KingNut",0 -- 1,0 -- 1,0 -- 0,0 -- 1,0 -- 0,0 -- 0,0 -- 1,0 -- 1,0 -- 1,0 -- 0,0 -- 0,0 -- 1,0 -- 0,1 -- 1,0 -- 0,1 -- 0,0 -- 2,--,0 -- 0,1 -- 1,
"19","Tesner",0 -- 0,0 -- 1,0 -- 0,0 -- 0,0 -- 0,0 -- 0,0 -- 1,0 -- 0,0 -- 0,0 -- 0,0 -- 0,1 -- 0,0 -- 0,0 -- 0,0 -- 0,0 -- 0,1 -- 0,0 -- 0,--,0 -- 0,
"20","a horse who can drive",0 -- 1,0 -- 0,0 -- 0,0 -- 0,0 -- 0,0 -- 0,0 -- 1,0 -- 0,0 -- 1,0 -- 0,0 -- 0,0 -- 0,0 -- 1,0 -- 1,0 -- 0,0 -- 1,1 -- 1,1 -- 1,0 -- 0,--,
